paper_id,condition,counterfactual_type,group,free_ok,structured_ok,free_chars,rating_1_10,confidence_1_5,n_strengths,n_weaknesses,n_soundness_issues,error_free,error_structured,free_extracted_rating,free_n_soundness_issues,judge_error
2023.acl%2023.acl-long.819,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,11402,7,4,6,7,6,,,4.0,5.0,
2023.acl%2023.acl-long.819,blueprint_result,blueprint_result,Logic-Perturbed,True,True,11209,6,4,5,6,5,,,3.0,11.0,
2024.acl%2024.acl-long.311,Original,none,Baseline,True,True,14899,7,4,6,8,6,,,3.0,7.0,
2024.acl%2024.acl-long.311,active_passive,active_passive,Format-Perturbed,True,True,12799,7,4,6,7,6,,,3.0,8.0,
2024.acl%2024.acl-long.311,british_american,british_american,Format-Perturbed,True,True,13054,7,4,6,7,7,,,4.0,8.0,
2024.acl%2024.acl-long.311,language_error,language_error,Format-Perturbed,True,True,13217,6,4,6,8,7,,,3.0,9.0,
2024.acl%2024.acl-long.311,paper_layout,paper_layout,Format-Perturbed,True,True,13590,7,4,6,8,7,,,3.0,8.0,
2024.acl%2024.acl-long.311,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,15230,7,4,7,10,7,,,4.0,12.0,
2024.acl%2024.acl-long.311,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,13857,7,4,6,7,6,,,4.0,7.0,
2024.acl%2024.acl-long.311,blueprint_result,blueprint_result,Logic-Perturbed,True,True,13101,7,4,6,7,6,,,3.0,15.0,
2024.acl%2024.acl-long.320,Original,none,Baseline,True,True,11942,7,4,6,6,5,,,7.0,5.0,
2024.acl%2024.acl-long.320,active_passive,active_passive,Format-Perturbed,True,True,12916,8,4,6,6,5,,,7.0,2.0,
2024.acl%2024.acl-long.320,british_american,british_american,Format-Perturbed,True,True,13165,8,4,7,7,5,,,6.0,8.0,
2024.acl%2024.acl-long.320,language_error,language_error,Format-Perturbed,True,True,11104,8,4,6,7,5,,,6.0,5.0,
2024.acl%2024.acl-long.320,paper_layout,paper_layout,Format-Perturbed,True,True,12579,7,4,6,6,5,,,6.0,5.0,
2024.acl%2024.acl-long.320,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,11456,7,4,6,6,5,,,6.0,5.0,
2024.acl%2024.acl-long.320,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12891,8,4,6,6,5,,,6.0,8.0,
2024.acl%2024.acl-long.320,blueprint_result,blueprint_result,Logic-Perturbed,True,True,13397,8,4,6,7,6,,,6.0,6.0,
2024.acl%2024.acl-long.375,Original,none,Baseline,True,True,12662,7,4,7,7,6,,,3.0,10.0,
2024.acl%2024.acl-long.375,active_passive,active_passive,Format-Perturbed,True,True,10759,7,4,7,8,6,,,4.0,6.0,
2024.acl%2024.acl-long.375,british_american,british_american,Format-Perturbed,True,True,12695,7,4,8,8,6,,,4.0,4.0,
2024.acl%2024.acl-long.375,language_error,language_error,Format-Perturbed,True,True,12477,7,4,7,8,6,,,3.0,12.0,
2024.acl%2024.acl-long.375,paper_layout,paper_layout,Format-Perturbed,True,True,12378,7,4,7,8,6,,,4.0,4.0,
2024.acl%2024.acl-long.375,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12966,7,4,7,8,6,,,3.0,10.0,
2024.acl%2024.acl-long.375,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,10829,7,4,7,8,7,,,3.0,6.0,
2024.acl%2024.acl-long.375,blueprint_result,blueprint_result,Logic-Perturbed,True,True,13044,6,4,7,8,7,,,3.0,6.0,
2024.acl%2024.acl-long.393,Original,none,Baseline,True,True,16082,6,4,7,9,7,,,3.0,6.0,
2024.acl%2024.acl-long.393,active_passive,active_passive,Format-Perturbed,True,True,12171,7,4,6,8,6,,,4.0,7.0,
2024.acl%2024.acl-long.393,british_american,british_american,Format-Perturbed,True,True,13323,7,4,6,6,6,,,3.0,8.0,
2024.acl%2024.acl-long.393,language_error,language_error,Format-Perturbed,True,True,14087,6,4,6,8,6,,,4.0,5.0,
2024.acl%2024.acl-long.393,paper_layout,paper_layout,Format-Perturbed,True,True,12843,7,4,7,8,6,,,3.0,6.0,
2024.acl%2024.acl-long.393,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13210,7,4,7,8,7,,,4.0,8.0,
2024.acl%2024.acl-long.393,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,14028,7,4,7,8,7,,,3.0,6.0,
2024.acl%2024.acl-long.393,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12575,6,4,6,8,7,,,3.0,8.0,
2024.acl%2024.acl-long.45,Original,none,Baseline,True,True,11073,7,4,7,8,6,,,6.0,8.0,
2024.acl%2024.acl-long.45,active_passive,active_passive,Format-Perturbed,True,True,12337,7,4,6,6,6,,,4.0,9.0,
2024.acl%2024.acl-long.45,british_american,british_american,Format-Perturbed,True,True,12686,7,4,6,7,6,,,4.0,9.0,
2024.acl%2024.acl-long.45,language_error,language_error,Format-Perturbed,True,True,13034,7,4,6,7,6,,,6.0,12.0,
2024.acl%2024.acl-long.45,paper_layout,paper_layout,Format-Perturbed,True,True,12587,7,4,6,6,5,,,6.0,9.0,
2024.acl%2024.acl-long.45,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12348,7,4,7,8,6,,,3.0,6.0,
2024.acl%2024.acl-long.45,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,13588,7,4,6,6,5,,,3.0,8.0,
2024.acl%2024.acl-long.45,blueprint_result,blueprint_result,Logic-Perturbed,True,True,15098,7,4,6,7,6,,,4.0,13.0,
2024.acl%2024.acl-long.741,Original,none,Baseline,True,True,12570,7,4,7,8,7,,,4.0,10.0,
2024.acl%2024.acl-long.741,active_passive,active_passive,Format-Perturbed,True,True,12873,7,4,7,8,7,,,3.0,22.0,
2024.acl%2024.acl-long.741,british_american,british_american,Format-Perturbed,True,True,15277,7,4,8,10,7,,,5.0,9.0,
2024.acl%2024.acl-long.741,language_error,language_error,Format-Perturbed,True,True,13020,7,4,8,8,7,,,6.0,7.0,
2024.acl%2024.acl-long.741,paper_layout,paper_layout,Format-Perturbed,True,True,13775,7,4,8,10,6,,,6.0,9.0,
2024.acl%2024.acl-long.741,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,14742,7,4,8,8,7,,,4.0,29.0,
2024.acl%2024.acl-long.741,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,13353,7,4,7,8,7,,,5.0,12.0,
2024.acl%2024.acl-long.741,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14512,7,4,7,8,7,,,4.0,9.0,
2024.emnlp%2024.emnlp-main.1123,Original,none,Baseline,True,True,13731,7,4,6,7,6,,,6.0,10.0,
2024.emnlp%2024.emnlp-main.1123,active_passive,active_passive,Format-Perturbed,True,True,11917,7,4,6,7,6,,,6.0,6.0,
2024.emnlp%2024.emnlp-main.1123,british_american,british_american,Format-Perturbed,True,True,13812,7,4,7,8,6,,,6.0,10.0,
2024.emnlp%2024.emnlp-main.1123,language_error,language_error,Format-Perturbed,True,True,13216,7,4,6,8,7,,,6.0,8.0,
2024.emnlp%2024.emnlp-main.1123,paper_layout,paper_layout,Format-Perturbed,True,True,13534,7,4,6,8,6,,,6.0,14.0,
2024.emnlp%2024.emnlp-main.1123,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13529,7,4,7,8,6,,,4.0,9.0,
2024.emnlp%2024.emnlp-main.1123,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,13079,7,4,6,8,6,,,4.0,10.0,
2024.emnlp%2024.emnlp-main.1123,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12928,7,4,7,8,6,,,4.0,9.0,
2024.emnlp%2024.emnlp-main.1192,Original,none,Baseline,True,True,14367,8,4,7,7,5,,,6.0,11.0,
2024.emnlp%2024.emnlp-main.1192,active_passive,active_passive,Format-Perturbed,True,True,14680,8,4,7,7,6,,,7.0,8.0,
2024.emnlp%2024.emnlp-main.1192,british_american,british_american,Format-Perturbed,True,True,11671,7,4,7,8,6,,,5.0,10.0,
2024.emnlp%2024.emnlp-main.1192,language_error,language_error,Format-Perturbed,True,True,13285,7,4,9,9,7,,,6.0,10.0,
2024.emnlp%2024.emnlp-main.1192,paper_layout,paper_layout,Format-Perturbed,True,True,13476,8,4,10,10,6,,,6.0,8.0,
2024.emnlp%2024.emnlp-main.1192,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12523,8,4,7,7,5,,,6.0,8.0,
2024.emnlp%2024.emnlp-main.1192,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,11839,8,4,8,8,6,,,6.0,7.0,
2024.emnlp%2024.emnlp-main.1192,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12461,7,4,7,8,6,,,6.0,9.0,
2024.emnlp%2024.emnlp-main.175,Original,none,Baseline,True,True,11362,7,4,7,8,6,,,4.0,6.0,
2024.emnlp%2024.emnlp-main.175,active_passive,active_passive,Format-Perturbed,True,True,12987,7,4,7,8,6,,,3.0,7.0,
2024.emnlp%2024.emnlp-main.175,british_american,british_american,Format-Perturbed,True,True,14438,7,4,7,7,6,,,3.0,13.0,
2024.emnlp%2024.emnlp-main.175,language_error,language_error,Format-Perturbed,True,True,12312,6,4,7,7,6,,,3.0,9.0,
2024.emnlp%2024.emnlp-main.175,paper_layout,paper_layout,Format-Perturbed,True,True,12262,7,4,7,7,6,,,4.0,7.0,
2024.emnlp%2024.emnlp-main.175,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13198,7,4,7,7,7,,,4.0,11.0,
2024.emnlp%2024.emnlp-main.175,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12508,6,4,7,7,6,,,4.0,8.0,
2024.emnlp%2024.emnlp-main.175,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12371,6,4,8,8,6,,,3.0,9.0,
2024.emnlp%2024.emnlp-main.758,Original,none,Baseline,True,True,11765,7,4,7,7,6,,,4.0,7.0,
2024.emnlp%2024.emnlp-main.758,active_passive,active_passive,Format-Perturbed,True,True,13244,7,4,7,7,7,,,4.0,4.0,
2024.emnlp%2024.emnlp-main.758,british_american,british_american,Format-Perturbed,True,True,12355,6,4,7,8,8,,,3.0,8.0,
2024.emnlp%2024.emnlp-main.758,language_error,language_error,Format-Perturbed,True,True,11791,6,4,7,7,7,,,4.0,6.0,
2024.emnlp%2024.emnlp-main.758,paper_layout,paper_layout,Format-Perturbed,True,True,13901,7,4,6,6,6,,,3.0,6.0,
2024.emnlp%2024.emnlp-main.758,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12254,7,4,7,7,7,,,3.0,12.0,
2024.emnlp%2024.emnlp-main.758,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12735,7,4,6,8,7,,,3.0,9.0,
2024.emnlp%2024.emnlp-main.758,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12460,7,4,6,6,6,,,4.0,8.0,
2024.emnlp%2024.emnlp-main.903,Original,none,Baseline,True,True,13974,6,4,6,8,7,,,3.0,14.0,
2024.emnlp%2024.emnlp-main.903,active_passive,active_passive,Format-Perturbed,True,True,13413,6,4,6,8,7,,,4.0,8.0,
2024.emnlp%2024.emnlp-main.903,british_american,british_american,Format-Perturbed,True,True,13690,6,4,6,8,7,,,3.0,16.0,
2024.emnlp%2024.emnlp-main.903,language_error,language_error,Format-Perturbed,True,True,11701,6,4,6,8,7,,,3.0,9.0,
2024.emnlp%2024.emnlp-main.903,paper_layout,paper_layout,Format-Perturbed,True,True,13902,6,4,6,8,8,,,4.0,8.0,
2024.emnlp%2024.emnlp-main.903,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,15276,6,4,5,8,6,,,4.0,7.0,
2024.emnlp%2024.emnlp-main.903,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12124,6,4,6,8,7,,,3.0,9.0,
2024.emnlp%2024.emnlp-main.903,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14273,5,4,5,8,6,,,1.0,10.0,
EMNLP_2023%7O9bTjLgTQ,Original,none,Baseline,True,True,11089,6,4,6,6,6,,,3.0,7.0,
EMNLP_2023%7O9bTjLgTQ,active_passive,active_passive,Format-Perturbed,True,True,14518,6,4,6,6,6,,,4.0,6.0,
EMNLP_2023%7O9bTjLgTQ,british_american,british_american,Format-Perturbed,True,True,11466,7,4,6,6,7,,,4.0,7.0,
EMNLP_2023%7O9bTjLgTQ,language_error,language_error,Format-Perturbed,True,True,13060,6,4,6,7,6,,,4.0,11.0,
EMNLP_2023%7O9bTjLgTQ,paper_layout,paper_layout,Format-Perturbed,True,True,12552,6,4,6,6,6,,,4.0,8.0,
EMNLP_2023%7O9bTjLgTQ,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,11683,6,4,6,6,6,,,3.0,12.0,
EMNLP_2023%7O9bTjLgTQ,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,11721,7,4,6,7,6,,,4.0,7.0,
EMNLP_2023%7O9bTjLgTQ,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12953,6,4,6,6,6,,,4.0,6.0,
EMNLP_2023%8L5SA7ENI4,Original,none,Baseline,True,True,15834,7,4,7,8,7,,,4.0,7.0,
EMNLP_2023%8L5SA7ENI4,active_passive,active_passive,Format-Perturbed,True,True,14171,7,4,6,8,7,,,3.0,8.0,
EMNLP_2023%8L5SA7ENI4,british_american,british_american,Format-Perturbed,True,True,13768,7,4,7,8,6,,,4.0,4.0,
EMNLP_2023%8L5SA7ENI4,language_error,language_error,Format-Perturbed,True,True,15133,6,4,7,10,8,,,3.0,7.0,
EMNLP_2023%8L5SA7ENI4,paper_layout,paper_layout,Format-Perturbed,True,True,14457,7,4,7,8,7,,,3.0,5.0,
EMNLP_2023%8L5SA7ENI4,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13847,7,4,7,8,6,,,3.0,5.0,
EMNLP_2023%8L5SA7ENI4,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,14750,7,4,7,8,7,,,4.0,3.0,
EMNLP_2023%8L5SA7ENI4,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14206,7,4,6,7,6,,,3.0,5.0,
EMNLP_2023%nRB8VpeM7b,Original,none,Baseline,True,True,13042,8,4,7,7,5,,,6.0,8.0,
EMNLP_2023%nRB8VpeM7b,active_passive,active_passive,Format-Perturbed,True,True,10486,8,4,7,6,5,,,7.0,5.0,
EMNLP_2023%nRB8VpeM7b,british_american,british_american,Format-Perturbed,True,True,10988,8,4,7,7,5,,,6.0,9.0,
EMNLP_2023%nRB8VpeM7b,language_error,language_error,Format-Perturbed,True,True,11094,8,4,7,7,5,,,6.0,4.0,
EMNLP_2023%nRB8VpeM7b,paper_layout,paper_layout,Format-Perturbed,True,True,11362,8,4,8,8,5,,,6.0,4.0,
EMNLP_2023%nRB8VpeM7b,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,11931,8,4,8,8,5,,,7.0,8.0,
EMNLP_2023%nRB8VpeM7b,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,11432,8,4,8,8,5,,,7.0,4.0,
EMNLP_2023%nRB8VpeM7b,blueprint_result,blueprint_result,Logic-Perturbed,True,True,11338,8,4,7,7,5,,,6.0,10.0,
ICLR.cc_2025%8sfc8MwG5v,Original,none,Baseline,True,True,14497,7,4,6,7,6,,,4.0,4.0,
ICLR.cc_2025%8sfc8MwG5v,active_passive,active_passive,Format-Perturbed,True,True,12517,7,4,7,7,6,,,6.0,7.0,
ICLR.cc_2025%8sfc8MwG5v,british_american,british_american,Format-Perturbed,True,True,12692,7,4,8,8,6,,,6.0,10.0,
ICLR.cc_2025%8sfc8MwG5v,language_error,language_error,Format-Perturbed,True,True,16095,7,4,7,7,6,,,5.0,12.0,
ICLR.cc_2025%8sfc8MwG5v,paper_layout,paper_layout,Format-Perturbed,True,True,14833,7,4,8,8,7,,,6.0,5.0,
ICLR.cc_2025%8sfc8MwG5v,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13781,7,4,8,8,6,,,6.0,10.0,
ICLR.cc_2025%8sfc8MwG5v,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,17383,7,4,8,8,6,,,4.0,9.0,
ICLR.cc_2025%8sfc8MwG5v,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14578,7,4,7,7,6,,,4.0,9.0,
ICLR.cc_2025%QCDdI7X3f9,Original,none,Baseline,True,True,13379,8,4,8,8,6,,,6.0,10.0,
ICLR.cc_2025%QCDdI7X3f9,active_passive,active_passive,Format-Perturbed,True,True,14085,8,4,7,7,5,,,7.0,4.0,
ICLR.cc_2025%QCDdI7X3f9,british_american,british_american,Format-Perturbed,True,True,12809,8,4,7,7,5,,,6.0,4.0,
ICLR.cc_2025%QCDdI7X3f9,language_error,language_error,Format-Perturbed,True,True,15218,8,4,8,8,6,,,5.0,9.0,
ICLR.cc_2025%QCDdI7X3f9,paper_layout,paper_layout,Format-Perturbed,True,True,11128,8,4,7,8,5,,,9.0,6.0,
ICLR.cc_2025%QCDdI7X3f9,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13187,8,4,7,7,5,,,6.0,5.0,
ICLR.cc_2025%QCDdI7X3f9,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,14145,8,4,7,7,5,,,6.0,8.0,
ICLR.cc_2025%QCDdI7X3f9,blueprint_result,blueprint_result,Logic-Perturbed,True,True,13844,8,4,7,7,6,,,6.0,9.0,
ICLR.cc_2025%lIVRgt4nLv,Original,none,Baseline,True,True,14210,7,4,8,8,5,,,6.0,6.0,
ICLR.cc_2025%lIVRgt4nLv,active_passive,active_passive,Format-Perturbed,True,True,13090,7,4,8,9,6,,,6.0,4.0,
ICLR.cc_2025%lIVRgt4nLv,british_american,british_american,Format-Perturbed,True,True,12997,7,4,7,8,6,,,6.0,7.0,
ICLR.cc_2025%lIVRgt4nLv,language_error,language_error,Format-Perturbed,True,True,12780,7,4,7,7,6,,,6.0,11.0,
ICLR.cc_2025%lIVRgt4nLv,paper_layout,paper_layout,Format-Perturbed,True,True,14238,8,4,8,8,6,,,6.0,6.0,
ICLR.cc_2025%lIVRgt4nLv,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13856,7,4,8,8,5,,,6.0,8.0,
ICLR.cc_2025%lIVRgt4nLv,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,13289,7,4,7,8,6,,,6.0,6.0,
ICLR.cc_2025%lIVRgt4nLv,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12713,7,4,8,9,6,,,7.0,6.0,
ICLR.cc_2025%lLkgj7FEtZ,Original,none,Baseline,True,True,14675,7,4,7,8,6,,,4.0,11.0,
ICLR.cc_2025%lLkgj7FEtZ,active_passive,active_passive,Format-Perturbed,True,True,13061,6,4,6,8,8,,,4.0,7.0,
ICLR.cc_2025%lLkgj7FEtZ,british_american,british_american,Format-Perturbed,True,True,15562,7,4,7,7,6,,,4.0,5.0,
ICLR.cc_2025%lLkgj7FEtZ,language_error,language_error,Format-Perturbed,True,True,12246,7,4,7,10,6,,,4.0,11.0,
ICLR.cc_2025%lLkgj7FEtZ,paper_layout,paper_layout,Format-Perturbed,True,True,13861,7,4,6,6,6,,,6.0,5.0,
ICLR.cc_2025%lLkgj7FEtZ,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12607,7,4,7,7,6,,,3.0,20.0,
ICLR.cc_2025%lLkgj7FEtZ,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12126,7,4,8,8,7,,,6.0,7.0,
ICLR.cc_2025%lLkgj7FEtZ,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14397,7,4,7,7,7,,,3.0,4.0,
NeurIPS.cc_2024%2cQ3lPhkeO,Original,none,Baseline,True,True,12552,7,4,6,7,6,,,4.0,7.0,
NeurIPS.cc_2024%2cQ3lPhkeO,active_passive,active_passive,Format-Perturbed,True,True,14147,7,4,6,6,5,,,4.0,11.0,
NeurIPS.cc_2024%2cQ3lPhkeO,british_american,british_american,Format-Perturbed,True,True,12897,7,4,7,7,5,,,6.0,7.0,
NeurIPS.cc_2024%2cQ3lPhkeO,language_error,language_error,Format-Perturbed,True,True,12904,7,4,6,6,5,,,4.0,7.0,
NeurIPS.cc_2024%2cQ3lPhkeO,paper_layout,paper_layout,Format-Perturbed,True,True,14571,7,4,6,6,5,,,4.0,7.0,
NeurIPS.cc_2024%2cQ3lPhkeO,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12139,7,4,6,6,5,,,4.0,11.0,
NeurIPS.cc_2024%2cQ3lPhkeO,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,14200,7,4,6,6,5,,,4.0,18.0,
NeurIPS.cc_2024%2cQ3lPhkeO,blueprint_result,blueprint_result,Logic-Perturbed,True,True,11419,7,4,6,6,5,,,4.0,6.0,
NeurIPS.cc_2024%4mxzxYhMuN,Original,none,Baseline,True,True,13209,7,4,7,8,6,,,6.0,6.0,
NeurIPS.cc_2024%4mxzxYhMuN,active_passive,active_passive,Format-Perturbed,True,True,13928,7,4,6,8,6,,,6.0,5.0,
NeurIPS.cc_2024%4mxzxYhMuN,british_american,british_american,Format-Perturbed,True,True,13289,8,4,6,6,5,,,6.0,6.0,
NeurIPS.cc_2024%4mxzxYhMuN,language_error,language_error,Format-Perturbed,True,True,12671,7,4,6,6,6,,,6.0,5.0,
NeurIPS.cc_2024%4mxzxYhMuN,paper_layout,paper_layout,Format-Perturbed,True,True,12444,8,4,7,7,5,,,6.0,7.0,
NeurIPS.cc_2024%4mxzxYhMuN,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13735,7,4,6,6,5,,,4.0,7.0,
NeurIPS.cc_2024%4mxzxYhMuN,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,13128,7,4,6,6,6,,,4.0,9.0,
NeurIPS.cc_2024%4mxzxYhMuN,blueprint_result,blueprint_result,Logic-Perturbed,True,True,13594,7,4,6,6,6,,,7.0,9.0,
NeurIPS.cc_2024%5Hdg5IK18B,Original,none,Baseline,True,True,15371,6,4,6,8,6,,,4.0,11.0,
NeurIPS.cc_2024%5Hdg5IK18B,active_passive,active_passive,Format-Perturbed,True,True,13583,6,4,6,9,5,,,3.0,7.0,
NeurIPS.cc_2024%5Hdg5IK18B,british_american,british_american,Format-Perturbed,True,True,12658,7,3,6,8,6,,,4.0,10.0,
NeurIPS.cc_2024%5Hdg5IK18B,language_error,language_error,Format-Perturbed,True,True,13589,6,4,6,7,6,,,4.0,7.0,
