paper_id,condition,judge_rating,judge_n_strengths,judge_n_weaknesses,judge_n_methodological_flaws,judge_error
2024.acl%2024.acl-long.393,paper_layout,4,5,11,9,
2024.acl%2024.acl-long.45,active_passive,3,5,7,7,
2024.acl%2024.acl-long.45,blueprint_conclusion,3,6,13,12,
2024.acl%2024.acl-long.45,blueprint_finding,3,5,6,8,
2024.acl%2024.acl-long.45,blueprint_result,4,6,8,8,
2024.acl%2024.acl-long.45,british_american,4,5,7,8,
2024.acl%2024.acl-long.45,language_error,5,6,8,9,
2024.acl%2024.acl-long.45,Original,4,5,7,7,
2024.acl%2024.acl-long.45,paper_layout,4,6,8,7,
2024.acl%2024.acl-long.741,active_passive,3,7,10,8,
2024.acl%2024.acl-long.741,blueprint_conclusion,3,7,8,10,
2024.acl%2024.acl-long.741,blueprint_finding,3,7,8,9,
2024.acl%2024.acl-long.741,blueprint_result,3,7,8,10,
2024.acl%2024.acl-long.741,british_american,3,6,15,15,
2024.acl%2024.acl-long.741,language_error,5,7,8,9,
2024.acl%2024.acl-long.741,Original,3,8,11,11,
2024.acl%2024.acl-long.741,paper_layout,4,7,8,8,
2024.emnlp%2024.emnlp-main.1123,active_passive,4,6,15,13,
2024.emnlp%2024.emnlp-main.1123,blueprint_conclusion,3,6,12,10,
2024.emnlp%2024.emnlp-main.1123,blueprint_finding,4,5,15,10,
2024.emnlp%2024.emnlp-main.1123,blueprint_result,5,7,8,8,
2024.emnlp%2024.emnlp-main.1123,british_american,5,6,11,10,
2024.emnlp%2024.emnlp-main.1123,language_error,4,6,13,11,
2024.emnlp%2024.emnlp-main.1123,Original,4,7,14,13,
2024.emnlp%2024.emnlp-main.1123,paper_layout,4,6,8,8,
2024.emnlp%2024.emnlp-main.1192,active_passive,4,7,7,6,
2024.emnlp%2024.emnlp-main.1192,blueprint_conclusion,6,7,8,7,
2024.emnlp%2024.emnlp-main.1192,blueprint_finding,5,7,7,7,
2024.emnlp%2024.emnlp-main.1192,blueprint_result,4,8,13,12,
2024.emnlp%2024.emnlp-main.1192,british_american,6,8,8,6,
2024.emnlp%2024.emnlp-main.1192,language_error,5,7,8,7,
2024.emnlp%2024.emnlp-main.1192,Original,7,6,6,6,
2024.emnlp%2024.emnlp-main.1192,paper_layout,7,8,8,8,
2024.emnlp%2024.emnlp-main.175,active_passive,3,6,7,8,
2024.emnlp%2024.emnlp-main.175,blueprint_conclusion,3,6,8,8,
2024.emnlp%2024.emnlp-main.175,blueprint_finding,3,6,13,13,
2024.emnlp%2024.emnlp-main.175,blueprint_result,3,6,11,11,
2024.emnlp%2024.emnlp-main.175,british_american,2,6,11,11,
2024.emnlp%2024.emnlp-main.175,language_error,3,6,8,10,
2024.emnlp%2024.emnlp-main.175,Original,4,6,8,8,
2024.emnlp%2024.emnlp-main.175,paper_layout,4,6,6,7,
2024.emnlp%2024.emnlp-main.758,active_passive,4,5,7,9,
2024.emnlp%2024.emnlp-main.758,blueprint_conclusion,4,5,18,13,
2024.emnlp%2024.emnlp-main.758,blueprint_finding,3,6,8,8,
2024.emnlp%2024.emnlp-main.758,blueprint_result,4,6,8,8,
2024.emnlp%2024.emnlp-main.758,british_american,3,5,6,10,
2024.emnlp%2024.emnlp-main.758,language_error,3,5,7,10,
2024.emnlp%2024.emnlp-main.758,Original,4,6,6,9,
2024.emnlp%2024.emnlp-main.758,paper_layout,3,5,7,10,
2024.emnlp%2024.emnlp-main.903,active_passive,3,5,8,10,
2024.emnlp%2024.emnlp-main.903,blueprint_conclusion,3,6,8,10,
2024.emnlp%2024.emnlp-main.903,blueprint_finding,4,5,8,10,
2024.emnlp%2024.emnlp-main.903,blueprint_result,3,5,9,10,
2024.emnlp%2024.emnlp-main.903,british_american,4,5,8,10,
2024.emnlp%2024.emnlp-main.903,language_error,3,6,8,10,
2024.emnlp%2024.emnlp-main.903,Original,3,5,8,10,
2024.emnlp%2024.emnlp-main.903,paper_layout,2,5,8,10,
EMNLP_2023%7O9bTjLgTQ,active_passive,4,6,8,10,
EMNLP_2023%7O9bTjLgTQ,blueprint_conclusion,4,6,7,9,
EMNLP_2023%7O9bTjLgTQ,blueprint_finding,3,5,7,8,
EMNLP_2023%7O9bTjLgTQ,blueprint_result,4,5,7,8,
EMNLP_2023%7O9bTjLgTQ,british_american,3,6,8,8,
EMNLP_2023%7O9bTjLgTQ,language_error,2,5,7,8,
EMNLP_2023%7O9bTjLgTQ,Original,3,6,8,10,
EMNLP_2023%7O9bTjLgTQ,paper_layout,4,6,7,9,
EMNLP_2023%8L5SA7ENI4,active_passive,3,6,8,10,
EMNLP_2023%8L5SA7ENI4,blueprint_conclusion,4,6,8,8,
EMNLP_2023%8L5SA7ENI4,blueprint_finding,3,6,8,8,
EMNLP_2023%8L5SA7ENI4,blueprint_result,3,6,12,10,
EMNLP_2023%8L5SA7ENI4,british_american,3,5,8,8,
EMNLP_2023%8L5SA7ENI4,language_error,3,6,8,10,
EMNLP_2023%8L5SA7ENI4,Original,4,6,7,10,
EMNLP_2023%8L5SA7ENI4,paper_layout,4,6,7,8,
EMNLP_2023%nRB8VpeM7b,active_passive,7,6,7,9,
EMNLP_2023%nRB8VpeM7b,blueprint_conclusion,6,8,8,8,
EMNLP_2023%nRB8VpeM7b,blueprint_finding,6,8,8,6,
EMNLP_2023%nRB8VpeM7b,blueprint_result,5,8,8,6,
EMNLP_2023%nRB8VpeM7b,british_american,7,7,14,10,
EMNLP_2023%nRB8VpeM7b,language_error,3,8,8,7,
EMNLP_2023%nRB8VpeM7b,Original,7,6,6,6,
EMNLP_2023%nRB8VpeM7b,paper_layout,5,7,11,10,
ICLR.cc_2025%8sfc8MwG5v,active_passive,6,6,7,6,
ICLR.cc_2025%8sfc8MwG5v,blueprint_conclusion,3,6,8,4,
ICLR.cc_2025%8sfc8MwG5v,blueprint_finding,4,7,13,12,
ICLR.cc_2025%8sfc8MwG5v,blueprint_result,4,6,7,5,
ICLR.cc_2025%8sfc8MwG5v,british_american,6,7,7,6,
ICLR.cc_2025%8sfc8MwG5v,language_error,3,6,6,6,
ICLR.cc_2025%8sfc8MwG5v,Original,4,6,6,9,
ICLR.cc_2025%8sfc8MwG5v,paper_layout,4,6,12,11,
ICLR.cc_2025%lIVRgt4nLv,active_passive,4,7,8,8,
ICLR.cc_2025%lIVRgt4nLv,blueprint_conclusion,4,7,11,9,
ICLR.cc_2025%lIVRgt4nLv,blueprint_finding,4,6,11,6,
ICLR.cc_2025%lIVRgt4nLv,blueprint_result,4,7,9,7,
ICLR.cc_2025%lIVRgt4nLv,british_american,6,6,7,8,
ICLR.cc_2025%lIVRgt4nLv,language_error,6,7,8,8,
ICLR.cc_2025%lIVRgt4nLv,Original,5,7,11,9,
ICLR.cc_2025%lIVRgt4nLv,paper_layout,6,7,8,7,
ICLR.cc_2025%lLkgj7FEtZ,active_passive,2,6,10,8,
ICLR.cc_2025%lLkgj7FEtZ,blueprint_conclusion,3,6,10,11,
ICLR.cc_2025%lLkgj7FEtZ,blueprint_finding,4,6,10,8,
ICLR.cc_2025%lLkgj7FEtZ,blueprint_result,2,6,14,13,
ICLR.cc_2025%lLkgj7FEtZ,british_american,4,6,8,8,
ICLR.cc_2025%lLkgj7FEtZ,language_error,3,5,10,5,
ICLR.cc_2025%lLkgj7FEtZ,Original,3,6,13,12,
ICLR.cc_2025%lLkgj7FEtZ,paper_layout,3,6,9,10,
ICLR.cc_2025%QCDdI7X3f9,active_passive,5,7,12,10,
ICLR.cc_2025%QCDdI7X3f9,blueprint_conclusion,4,7,11,10,
ICLR.cc_2025%QCDdI7X3f9,blueprint_finding,6,8,7,7,
ICLR.cc_2025%QCDdI7X3f9,blueprint_result,4,7,12,10,
ICLR.cc_2025%QCDdI7X3f9,british_american,6,7,11,9,
ICLR.cc_2025%QCDdI7X3f9,language_error,4,7,8,5,
ICLR.cc_2025%QCDdI7X3f9,Original,4,7,13,8,
ICLR.cc_2025%QCDdI7X3f9,paper_layout,3,7,7,6,
NeurIPS.cc_2024%2cQ3lPhkeO,active_passive,3,5,7,8,
NeurIPS.cc_2024%2cQ3lPhkeO,blueprint_conclusion,4,6,7,9,
NeurIPS.cc_2024%2cQ3lPhkeO,blueprint_finding,3,6,8,9,
NeurIPS.cc_2024%2cQ3lPhkeO,blueprint_result,3,6,14,12,
NeurIPS.cc_2024%2cQ3lPhkeO,british_american,4,5,8,8,
NeurIPS.cc_2024%2cQ3lPhkeO,language_error,4,5,8,6,
NeurIPS.cc_2024%2cQ3lPhkeO,Original,4,5,15,14,
NeurIPS.cc_2024%2cQ3lPhkeO,paper_layout,4,6,6,8,
NeurIPS.cc_2024%4mxzxYhMuN,active_passive,2,5,7,8,
NeurIPS.cc_2024%4mxzxYhMuN,blueprint_conclusion,4,6,6,7,
NeurIPS.cc_2024%4mxzxYhMuN,blueprint_finding,5,5,11,10,
NeurIPS.cc_2024%4mxzxYhMuN,blueprint_result,4,5,6,6,
NeurIPS.cc_2024%4mxzxYhMuN,british_american,4,7,14,10,
NeurIPS.cc_2024%4mxzxYhMuN,language_error,5,5,6,8,
NeurIPS.cc_2024%4mxzxYhMuN,Original,4,6,8,6,
NeurIPS.cc_2024%4mxzxYhMuN,paper_layout,4,5,6,7,
NeurIPS.cc_2024%5Hdg5IK18B,active_passive,3,6,10,6,
NeurIPS.cc_2024%5Hdg5IK18B,blueprint_conclusion,3,5,8,8,
NeurIPS.cc_2024%5Hdg5IK18B,blueprint_finding,3,5,9,8,
NeurIPS.cc_2024%5Hdg5IK18B,blueprint_result,3,5,8,8,
NeurIPS.cc_2024%5Hdg5IK18B,british_american,3,5,13,10,
NeurIPS.cc_2024%5Hdg5IK18B,language_error,3,5,8,7,
NeurIPS.cc_2024%5Hdg5IK18B,Original,3,5,15,15,
NeurIPS.cc_2024%5Hdg5IK18B,paper_layout,3,5,8,7,
NeurIPS.cc_2024%bPuYxFBHyI,active_passive,3,6,6,5,
NeurIPS.cc_2024%bPuYxFBHyI,blueprint_conclusion,3,6,6,5,
NeurIPS.cc_2024%bPuYxFBHyI,blueprint_finding,3,6,10,7,
NeurIPS.cc_2024%bPuYxFBHyI,blueprint_result,4,6,6,6,
NeurIPS.cc_2024%bPuYxFBHyI,british_american,4,6,12,10,
NeurIPS.cc_2024%bPuYxFBHyI,language_error,4,6,6,6,
NeurIPS.cc_2024%bPuYxFBHyI,Original,3,6,6,7,
NeurIPS.cc_2024%bPuYxFBHyI,paper_layout,3,7,7,6,
NeurIPS.cc_2024%oPFjhl6DpR,active_passive,3,5,10,8,
NeurIPS.cc_2024%oPFjhl6DpR,blueprint_conclusion,3,5,8,7,
NeurIPS.cc_2024%oPFjhl6DpR,blueprint_finding,3,5,12,11,
NeurIPS.cc_2024%oPFjhl6DpR,blueprint_result,3,5,12,11,
NeurIPS.cc_2024%oPFjhl6DpR,british_american,3,5,8,7,
NeurIPS.cc_2024%oPFjhl6DpR,language_error,4,5,14,12,
NeurIPS.cc_2024%oPFjhl6DpR,Original,3,5,13,13,
NeurIPS.cc_2024%oPFjhl6DpR,paper_layout,2,5,10,8,
NeurIPS.cc_2024%QtYg4g3Deu,active_passive,3,6,14,12,
NeurIPS.cc_2024%QtYg4g3Deu,blueprint_conclusion,4,6,7,8,
NeurIPS.cc_2024%QtYg4g3Deu,blueprint_finding,2,6,8,8,
NeurIPS.cc_2024%QtYg4g3Deu,blueprint_result,4,6,8,8,
NeurIPS.cc_2024%QtYg4g3Deu,british_american,5,6,7,7,
NeurIPS.cc_2024%QtYg4g3Deu,language_error,3,6,8,8,
NeurIPS.cc_2024%QtYg4g3Deu,Original,3,6,8,8,
NeurIPS.cc_2024%QtYg4g3Deu,paper_layout,3,5,8,8,
NeurIPS.cc_2024%SAZeQV2PtT,active_passive,4,7,7,6,
NeurIPS.cc_2024%SAZeQV2PtT,blueprint_conclusion,8,7,9,9,
NeurIPS.cc_2024%SAZeQV2PtT,blueprint_finding,6,6,6,5,
NeurIPS.cc_2024%SAZeQV2PtT,blueprint_result,5,6,6,7,
NeurIPS.cc_2024%SAZeQV2PtT,british_american,6,6,10,5,
NeurIPS.cc_2024%SAZeQV2PtT,language_error,4,6,11,8,
NeurIPS.cc_2024%SAZeQV2PtT,Original,4,6,11,10,
NeurIPS.cc_2024%SAZeQV2PtT,paper_layout,6,6,5,5,
